date,city,temperature,humidity
2004-03-10,Chicago,19.46,50
2004-03-10,Dallas,21.88,30
2004-03-10,Houston,21.97,38
2004-03-10,Los Angeles,19.77,39
2004-03-10,New York,17.44,32
2004-03-10,Philadelphia,19.34,31
2004-03-10,Phoenix,25.96,15
2004-03-10,San Antonio,23.38,26
2004-03-10,San Diego,19.77,41
2004-03-10,San Jose,16.75,52
2004-03-11,Chicago,19.46,50
2004-03-11,Dallas,21.88,30
2004-03-11,Houston,21.97,38
2004-03-11,Los Angeles,19.77,39
2004-03-11,New York,17.44,32
2004-03-11,Philadelphia,19.34,31
2004-03-11,Phoenix,25.96,15
2004-03-11,San Antonio,23.38,26
2004-03-11,San Diego,19.77,41
2004-03-11,San Jose,16.75,52
2004-03-12,Chicago,19.46,50
2004-03-12,Dallas,21.88,30
2004-03-12,Houston,21.97,38
2004-03-12,Los Angeles,19.77,39
2004-03-12,New York,17.44,32
2004-03-12,Philadelphia,19.34,31
2004-03-12,Phoenix,25.96,15
2004-03-12,San Antonio,23.38,26
2004-03-12,San Diego,19.77,41
2004-03-12,San Jose,16.75,52
2004-03-13,Chicago,19.46,50
2004-03-13,Dallas,21.88,30
2004-03-13,Houston,21.97,38
2004-03-13,Los Angeles,19.77,39
2004-03-13,New York,17.44,32
2004-03-13,Philadelphia,19.34,31
2004-03-13,Phoenix,25.96,15
2004-03-13,San Antonio,23.38,26
2004-03-13,San Diego,19.77,41
2004-03-13,San Jose,16.75,52
2004-03-14,Chicago,19.46,50
2004-03-14,Dallas,21.88,30
2004-03-14,Houston,21.97,38
2004-03-14,Los Angeles,19.77,39
2004-03-14,New York,17.44,32
2004-03-14,Philadelphia,19.34,31
2004-03-14,Phoenix,25.96,15
2004-03-14,San Antonio,23.38,26
2004-03-14,San Diego,19.77,41
2004-03-14,San Jose,16.75,52
2004-03-15,Chicago,19.46,50
2004-03-15,Dallas,21.88,30
2004-03-15,Houston,21.97,38
2004-03-15,Los Angeles,19.77,39
2004-03-15,New York,17.44,32
2004-03-15,Philadelphia,19.34,31
2004-03-15,Phoenix,25.96,15
2004-03-15,San Antonio,23.38,26
2004-03-15,San Diego,19.77,41
2004-03-15,San Jose,16.75,52
2004-03-16,Chicago,19.46,50
2004-03-16,Dallas,21.88,30
2004-03-16,Houston,21.97,38
2004-03-16,Los Angeles,19.77,39
2004-03-16,New York,17.44,32
2004-03-16,Philadelphia,19.34,31
2004-03-16,Phoenix,25.96,15
2004-03-16,San Antonio,23.38,26
2004-03-16,San Diego,19.77,41
2004-03-16,San Jose,16.75,52
2004-03-17,Chicago,19.46,50
2004-03-17,Dallas,21.88,30
2004-03-17,Houston,21.97,38
2004-03-17,Los Angeles,19.77,39
2004-03-17,New York,17.44,32
2004-03-17,Philadelphia,19.34,31
2004-03-17,Phoenix,25.96,15
2004-03-17,San Antonio,23.38,26
2004-03-17,San Diego,19.77,41
2004-03-17,San Jose,16.75,52
2004-03-18,Chicago,19.46,50
2004-03-18,Dallas,21.88,30
2004-03-18,Houston,21.97,38
2004-03-18,Los Angeles,19.77,39
2004-03-18,New York,17.44,32
2004-03-18,Philadelphia,19.34,31
2004-03-18,Phoenix,25.96,15
2004-03-18,San Antonio,23.38,26
2004-03-18,San Diego,19.77,41
2004-03-18,San Jose,16.75,52
2004-03-19,Chicago,19.46,50
2004-03-19,Dallas,21.88,30
2004-03-19,Houston,21.97,38
2004-03-19,Los Angeles,19.77,39
2004-03-19,New York,17.44,32
2004-03-19,Philadelphia,19.34,31
2004-03-19,Phoenix,25.96,15
2004-03-19,San Antonio,23.38,26
2004-03-19,San Diego,19.77,41
