date,city,temperature,humidity,CO(GT),C6H6(GT)
2004-03-10,Chicago,19.46,50,-200.0,7.5
2004-03-10,Chicago,19.46,50,-200.0,10.7
2004-03-10,Chicago,19.46,50,-200.0,8.4
2004-03-10,Chicago,19.46,50,-200.0,11.3
2004-03-10,Chicago,19.46,50,-200.0,7.8
2004-03-10,Chicago,19.46,50,-200.0,8.3
2004-03-10,Chicago,19.46,50,-200.0,6.0
2004-03-10,Chicago,19.46,50,-200.0,6.7
2004-03-10,Chicago,19.46,50,-200.0,6.2
2004-03-10,Chicago,19.46,50,-200.0,7.7
2004-03-10,Chicago,19.46,50,-200.0,6.5
2004-03-10,Chicago,19.46,50,-200.0,5.6
2004-03-10,Chicago,19.46,50,-200.0,5.4
2004-03-10,Chicago,19.46,50,-200.0,3.9
2004-03-10,Chicago,19.46,50,-200.0,4.5
2004-03-10,Chicago,19.46,50,-200.0,8.3
2004-03-10,Chicago,19.46,50,-200.0,3.3
2004-03-10,Chicago,19.46,50,-200.0,3.2
2004-03-10,Chicago,19.46,50,-200.0,8.5
2004-03-10,Chicago,19.46,50,-200.0,11.0
2004-03-10,Chicago,19.46,50,-200.0,20.8
2004-03-10,Chicago,19.46,50,-200.0,21.4
2004-03-10,Chicago,19.46,50,-200.0,10.4
2004-03-10,Chicago,19.46,50,-200.0,5.1
2004-03-10,Dallas,21.88,30,-200.0,7.5
2004-03-10,Dallas,21.88,30,-200.0,10.7
2004-03-10,Dallas,21.88,30,-200.0,8.4
2004-03-10,Dallas,21.88,30,-200.0,11.3
2004-03-10,Dallas,21.88,30,-200.0,7.8
2004-03-10,Dallas,21.88,30,-200.0,8.3
2004-03-10,Dallas,21.88,30,-200.0,6.0
2004-03-10,Dallas,21.88,30,-200.0,6.7
2004-03-10,Dallas,21.88,30,-200.0,6.2
2004-03-10,Dallas,21.88,30,-200.0,7.7
2004-03-10,Dallas,21.88,30,-200.0,6.5
2004-03-10,Dallas,21.88,30,-200.0,5.6
2004-03-10,Dallas,21.88,30,-200.0,5.4
