city,date,temperature,humidity
New York,2004-03-10,17.44,32
Los Angeles,2004-03-10,19.77,39
Chicago,2004-03-10,19.46,50
Houston,2004-03-10,21.97,38
Phoenix,2004-03-10,25.96,15
Philadelphia,2004-03-10,19.34,31
San Antonio,2004-03-10,23.38,26
San Diego,2004-03-10,19.77,41
Dallas,2004-03-10,21.88,30
San Jose,2004-03-10,16.75,52
New York,2004-03-11,17.44,32
Los Angeles,2004-03-11,19.77,39
Chicago,2004-03-11,19.46,50
Houston,2004-03-11,21.97,38
Phoenix,2004-03-11,25.96,15
Philadelphia,2004-03-11,19.34,31
San Antonio,2004-03-11,23.38,26
San Diego,2004-03-11,19.77,41
Dallas,2004-03-11,21.88,30
San Jose,2004-03-11,16.75,52
New York,2004-03-12,17.44,32
Los Angeles,2004-03-12,19.77,39
Chicago,2004-03-12,19.46,50
Houston,2004-03-12,21.97,38
Phoenix,2004-03-12,25.96,15
Philadelphia,2004-03-12,19.34,31
San Antonio,2004-03-12,23.38,26
San Diego,2004-03-12,19.77,41
Dallas,2004-03-12,21.88,30
San Jose,2004-03-12,16.75,52
New York,2004-03-13,17.44,32
Los Angeles,2004-03-13,19.77,39
Chicago,2004-03-13,19.46,50
Houston,2004-03-13,21.97,38
Phoenix,2004-03-13,25.96,15
Philadelphia,2004-03-13,19.34,31
San Antonio,2004-03-13,23.38,26
San Diego,2004-03-13,19.77,41
Dallas,2004-03-13,21.88,30
San Jose,2004-03-13,16.75,52
New York,2004-03-14,17.44,32
Los Angeles,2004-03-14,19.77,39
Chicago,2004-03-14,19.46,50
Houston,2004-03-14,21.97,38
Phoenix,2004-03-14,25.96,15
Philadelphia,2004-03-14,19.34,31
San Antonio,2004-03-14,23.38,26
San Diego,2004-03-14,19.77,41
Dallas,2004-03-14,21.88,30
San Jose,2004-03-14,16.75,52
New York,2004-03-15,17.44,32
Los Angeles,2004-03-15,19.77,39
Chicago,2004-03-15,19.46,50
Houston,2004-03-15,21.97,38
Phoenix,2004-03-15,25.96,15
Philadelphia,2004-03-15,19.34,31
San Antonio,2004-03-15,23.38,26
San Diego,2004-03-15,19.77,41
Dallas,2004-03-15,21.88,30
San Jose,2004-03-15,16.75,52
New York,2004-03-16,17.44,32
Los Angeles,2004-03-16,19.77,39
Chicago,2004-03-16,19.46,50
Houston,2004-03-16,21.97,38
Phoenix,2004-03-16,25.96,15
Philadelphia,2004-03-16,19.34,31
San Antonio,2004-03-16,23.38,26
San Diego,2004-03-16,19.77,41
Dallas,2004-03-16,21.88,30
San Jose,2004-03-16,16.75,52
New York,2004-03-17,17.44,32
Los Angeles,2004-03-17,19.77,39
Chicago,2004-03-17,19.46,50
Houston,2004-03-17,21.97,38
Phoenix,2004-03-17,25.96,15
Philadelphia,2004-03-17,19.34,31
San Antonio,2004-03-17,23.38,26
San Diego,2004-03-17,19.77,41
Dallas,2004-03-17,21.88,30
San Jose,2004-03-17,16.75,52
New York,2004-03-18,17.44,32
Los Angeles,2004-03-18,19.77,39
Chicago,2004-03-18,19.46,50
Houston,2004-03-18,21.97,38
Phoenix,2004-03-18,25.96,15
Philadelphia,2004-03-18,19.34,31
San Antonio,2004-03-18,23.38,26
San Diego,2004-03-18,19.77,41
